"Event","From","To","LengthMeters","DelaySeconds","Magnitude","PointCount","StartLongitude","StartLatitude","EndLongitude","EndLatitude"
"Queuing traffic","Bluegum Road (M7)","Klipfontein Road (M7)","1203","189","2","34","18,5423214358","-33,9551621134","18,5395158451","-33,9657139437"
"Stationary traffic","Mangaan Street","Klipfontein Road (M18)","273","336","3","5","18,5424086076","-33,9668928075","18,5419740897","-33,9693188187"
"Stationary traffic","N7 (M5)","Blaauwberg Road (M5)","788","245","3","28","18,5453992706","-33,8080456324","18,5402199250","-33,8124310442"
"Stationary traffic","Durr Road","Torrid Road","214","158","3","3","18,5451028865","-33,9755777874","18,5456755381","-33,9737122817"
"Stationary traffic","Chestnut Street","Jakes Gerwel Drive (M7) / Jakkalsvlei Avenue","170","173","3","4","18,5456688326","-33,9495026654","18,5457104069","-33,9479738170"
"Stationary traffic","Old Malmesbury Road (N7)","Wingfield Road (N7)","1969","375","3","21","18,5474766415","-33,7649505935","18,5460443419","-33,7472802238"
"Stationary traffic","Plate Road","Rio Grande Street","124","134","3","3","18,5517668348","-33,9905029305","18,5504203659","-33,9905525512"
"Stationary traffic","Bramble Way","Assegaai Avenue","67","155","3","5","18,5533935946","-33,9431337893","18,5533828657","-33,9425288968"
"Stationary traffic","Jansen Crescent","Usk Road","37","73","3","2","18,5531146448","-33,9934976379","18,5535156351","-33,9934587210"
"Queuing traffic","Ny1 Road (M18)","Vanguard Drive (M18)","532","148","2","15","18,5575671118","-33,9719648362","18,5520779711","-33,9705606811"
"Stationary traffic","Duinefontein Road (M10) / Ruimte Road","Priscillia Mngeni Street","206","328","3","14","18,5598845404","-33,9806712616","18,5599542778","-33,9788299169"
"Stationary traffic","Vanguard Drive (M18)","Ny1 Road (M18)","1194","339","3","33","18,5521128398","-33,9703796686","18,5640111190","-33,9745277069"
"Stationary traffic","Klipfontein Road (M18) (Ny1 Road)","Ny3 (Ny1 Road)","506","288","3","25","18,5648023706","-33,9831402495","18,5652114075","-33,9876463516"
"Queuing traffic","Settlers Way (N2) (Ny1 Road)","Ny3 (Ny1 Road)","363","127","2","16","18,5652583462","-33,9723631393","18,5636315864","-33,9753296395"
"Stationary traffic","Lansdowne Road (M9) (Ny1 Road)","Klipfontein Road (M18) (Ny1 Road)","647","257","3","23","18,5655104738","-33,9893147338","18,5646803301","-33,9835519838"
"Queuing traffic","Owen Road (Valhalla Drive)","Jakkalsvlei Street (Valhalla Drive)","1223","187","2","25","18,5664398592","-33,9369405138","18,5663379353","-33,9479416239"
"Stationary traffic","Settlers Way (N2) (Ny1 Road)","Klipfontein Road (M18) (Ny1 Road)","411","141","3","14","18,5687693578","-33,9639758578","18,5677125674","-33,9675405570"
"Stationary traffic","Duinefontein Road (Valhalla Drive)","Settlers Way - N2 (Valhalla Drive)","447","322","3","27","18,5678694766","-33,9601724807","18,5687680167","-33,9639826011"
"Stationary traffic","Doreen Street","Thomas Street","123","246","3","6","18,5699213665","-33,9563637886","18,5700420659","-33,9552654287"
"Slow traffic","Duinefontein Road (M9)","Emmbry Avenue (M9)","1344","179","1","26","18,5585729402","-34,0019961750","18,5730595511","-34,0020176466"
"Stationary traffic","Oliver Tambo Drive (M7)","Cape Flats Freeway (M7)","709","299","3","11","18,5701976341","-34,0189075385","18,5743215304","-34,0242920623"
"Stationary traffic","Tafelberg Road","Drakenstein Circle","80","68","3","2","18,5745790225","-33,9510999030","18,5750269514","-33,9504790058"
"Stationary traffic","Tom Street","New Crossroads","328","193","3","4","18,5776313764","-33,9972124518","18,5740841549","-33,9974847186"
"Slow traffic","Weltevreden Street","Jakes Gerwel Drive (M7)","421","121","1","11","18,5738575083","-34,0313650569","18,5782643777","-34,0303672779"
"Stationary traffic","Simonsberg Road","Kasteelberg Road","69","128","3","2","18,5804168504","-33,9514982343","18,5796685141","-33,9514432370"
"Stationary traffic","Ananwabisi Street","4th Avenue","146","210","3","4","18,5803672295","-33,9933594828","18,5805549842","-33,9946656925"
"Stationary traffic","Lindewa Street","Terminus Road","103","242","3","3","18,5818639022","-33,9932428014","18,5817525905","-33,9923187954"
"Slow traffic","Jessica Road","Reenberg Road","226","88","1","8","18,5817338150","-33,9520534197","18,5813623291","-33,9502121507"
"Slow traffic","Sheffield Road (Amsterdam Street)","Terminus Street (Emms Drive)","981","150","1","14","18,5842470449","-34,0055018162","18,5830507797","-33,9967350444"
"Queuing traffic","Nqwebeba Street","Sagwityi Street","318","155","2","16","18,5840472203","-34,0124326942","18,5847311836","-34,0101286714"
"Slow traffic","Govan Mbeki Road (M9)","Govan Mbeki Road (M9)","276","123","1","18","18,5904965919","-34,0002326336","18,5903839391","-34,0002567462"
"Slow traffic","Ny1 Road (M18)","Sithandatu Avenue (M18)","1692","173","1","29","18,5792594772","-33,9805264132","18,5913039368","-33,9893656757"
"Stationary traffic","Stock Road (M9)","Emmbry Avenue (M9)","344","153","3","8","18,5925712806","-33,9998008282","18,5889570039","-34,0005531854"
"Stationary traffic","Lansdowne Road (M22)","Sheffield Road (M22)","874","245","3","14","18,5925457996","-34,0000623160","18,5933290046","-34,0078849664"
"Stationary traffic","White Hart Lane (M22)","Lansdowne Road (M22)","1167","326","3","14","18,5936562341","-34,0107093207","18,5925256830","-34,0002648070"
"Stationary traffic","Amsterdam Street (Sheffield Road)","Stock Road - M36 (Sheffield Road)","475","158","3","16","18,5912315172","-34,0079185266","18,5963679474","-34,0078353558"
"Stationary traffic","Cormorant Avenue / Kraai Street","Weltevreden Road (M7) / Cormorant Avenue","143","141","3","8","18,5954962295","-34,0623271171","18,5968024653","-34,0623753766"
"Stationary traffic","Voortrekker Road (R102) / Fritz Spilhaus Avenue","De la Rey Street (M29)","165","117","3","6","18,5956585031","-33,9065886708","18,5974274200","-33,9063740611"
"Stationary traffic","Minerva Road","Mitchell Avenue","157","140","3","7","18,5964993757","-34,0361420633","18,5980523747","-34,0355707566"
"Stationary traffic","Robert Sobukwe Road (M10)","M12","216","265","3","14","18,5971887034","-33,9504333944","18,5987940055","-33,9490922959"
"Stationary traffic","Orrel Street","Bergsig Drive","145","128","3","4","18,5991963368","-34,0392936622","18,5983728987","-34,0400607415"
"Stationary traffic","Francie Van Zijl Drive (M29)","Mark Street (M29)","297","129","3","9","18,5993921381","-33,9166416072","18,5989120227","-33,9140076423"
"Slow traffic","Newton Road","Rose Street","175","96","1","7","18,6014346403","-34,0381510180","18,6024243754","-34,0391984367"
"Stationary traffic","New Eisleben Road (M9)","Stock Road (M9)","706","260","3","14","18,5974059623","-33,9985039397","18,6049268764","-33,9973948665"
"Slow traffic","Marigold Road","Eisleben Road (M22) / Lavender Road","330","75","1","4","18,6050583046","-34,0335081164","18,6015258354","-34,0337696393"
"Stationary traffic","Terminus Road","Market Road","109","192","3","2","18,6042174321","-34,0113141452","18,6054016274","-34,0112860058"
"Queuing traffic","Lansdowne Road (M36)","Ngqwangi Drive (M36)","891","202","2","13","18,6055451256","-34,0027244008","18,6064704877","-34,0107026506"
"Stationary traffic","Ngqwangi Drive (M36)","Highlands Drive (M36)","846","245","3","24","18,6069291454","-34,0148399669","18,6082970720","-34,0223259903"
"Slow traffic","Deodar Street","Sipres Street","384","71","1","11","18,6088764292","-33,8874095456","18,6047739905","-33,8875074461"
"Stationary traffic","Candytuft Street","Clarkia Street","190","162","3","6","18,6092801016","-34,0256706683","18,6076010388","-34,0258021019"
"Stationary traffic","Boulevard Park","M16","43","102","3","6","18,6115613204","-33,9045569181","18,6111670357","-33,9044053312"
"Stationary traffic","10th Avenue","A.Z. Berman Drive (M36)","58","63","3","9","18,6180884760","-34,0397295036","18,6184049767","-34,0393137353"
"Stationary traffic","Wespoort Drive (M36)","Morgenster Road (M36)","574","240","3","7","18,6195006591","-34,0416070339","18,6171885949","-34,0368112339"
"Queuing traffic","10th Avenue","Hengelaar Street","251","106","2","10","18,6178497594","-34,0398072949","18,6203656715","-34,0389731177"
"Slow traffic","Daiza Road","Daiza Road","363","65","1","26","18,6207130176","-33,9988539619","18,6218140644","-34,0012853844"
"Stationary traffic","Govan Mbeki Road (M9) / Delft Main Road","Gcobani Road","191","50","3","8","18,6228547615","-34,0002460450","18,6218663674","-34,0017494245"
"Stationary traffic","Akkerboom Avenue (Erica Drive)","Symphony Way (Erica Drive)","869","229","3","17","18,6140262705","-33,9451427189","18,6230612916","-33,9429728142"
"Stationary traffic","M54 (Sheffield Road/M171)","Lansdowne Road - M9 (Sheffield Road/M171)","260","174","3","5","18,6243393641","-33,9982625299","18,6228547615","-34,0002460450"
"Slow traffic","Klipfontein Road Extension (M9)","Luzuko Drive (M9)","1343","214","1","21","18,6114996296","-33,9974002173","18,6245230955","-34,0015831403"
"Queuing traffic","Erica Drive (Stellenbosch Road/M12)","Symphony Way (Stellenbosch Road/M12)","1018","168","2","10","18,6154840511","-33,9512568300","18,6264744025","-33,9521151609"
"Queuing traffic","Luzuko Drive (M9)","Klipfontein Road Extension (M9)","1074","199","2","20","18,6266138774","-34,0032970404","18,6173320931","-33,9980010366"
"Queuing traffic","Voortrekker Road (R102) / R302","Voortrekker Road (R102)","272","192","2","13","18,6279107255","-33,9055453218","18,6298150939","-33,9048143856"
"Queuing traffic","Voortrekker Road (R102)","Voortrekker Road (R102) / Durban Road (R302)","315","140","2","6","18,6304923516","-33,9031273020","18,6294261735","-33,9058175343"
"Queuing traffic","Carl Cronje Drive","Carl Cronje Drive","215","138","2","16","18,6287623268","-33,8766927573","18,6308034879","-33,8772171151"
"Stationary traffic","Tafelsig","Pyrenees Street","138","128","3","5","18,6314391714","-34,0652721440","18,6325656992","-34,0651447988"
"Queuing traffic","Lincoln Street (Voortrekker Road)","Modderdam Road North-South (Voortrekker Road)","696","163","2","20","18,6252607029","-33,9011585667","18,6327601594","-33,9015716021"
"Queuing traffic","Kasselsvlei Road (Modderdam Road/M10)","Voortrekker Road - R102 (Modderdam Road/M10)","660","183","2","26","18,6319836598","-33,9074295738","18,6327601594","-33,9015716021"
"Queuing traffic","A.Z.Berman Drive (Highlands Drive)","Swartklip Road (Highlands Drive)","1438","180","2","17","18,6174943667","-34,0267114333","18,6330270391","-34,0255446530"
"Stationary traffic","Fever Tree Way","Styrax Way","138","170","3","4","18,6331785840","-33,9786408592","18,6338182908","-33,9797673451"
"Stationary traffic","De Lille Street","Voortrekker Road (R102) / Charl Malan Street","480","188","3","19","18,6348844689","-33,9055828181","18,6302093786","-33,9038742533"
"Slow traffic","Lange Street","Mfuhavura Street","118","69","1","7","18,6358393353","-33,9580790177","18,6349179965","-33,9584693212"
"Queuing traffic","Botha Street","Swartklip Road (M49)","112","51","2","7","18,6367781085","-34,0457497193","18,6376458031","-34,0450470043"
"Stationary traffic","Corktree Road / Malberrpu Street","Empress Tree Street / Sandalhout Road","176","265","3","4","18,6368491870","-33,9796332685","18,6384249848","-33,9805197407"
"Queuing traffic","Kaap Street","Kaap Street","89","103","2","8","18,6387186867","-33,9648234242","18,6391022426","-33,9648288466"
"Stationary traffic","Lukwart Crescent / Palm Street","Welwitschia Crescent","271","211","3","5","18,6401402575","-33,9887702162","18,6412091178","-33,9865104486"
"Stationary traffic","Morgenster Road (M49)","Spine Road (M49)","488","254","3","6","18,6375827712","-34,0440491779","18,6413888258","-34,0471042246"
"Stationary traffic","Camdeboo Crescent","Jukskei Court","44","98","3","2","18,6421532553","-33,9688064974","18,6421505731","-33,9692007835"
"Slow traffic","N2 exit [22]","Khayelitsha [25]","1237","74","1","31","18,6385497075","-33,9964440123","18,6432489377","-34,0052161644"
"Stationary traffic","Welwitschia Crescent","Aalwyn Road","147","273","3","5","18,6424094063","-33,9843190803","18,6436177414","-33,9835251558"
"Stationary traffic","Saint Vincent Drive (Belhar Drive)","Hindle Road (Delft Main Road)","1366","598","3","34","18,6478180808","-33,9460721049","18,6467975002","-33,9582868925"
"Stationary traffic","Blue Downs [18]","Hindle Road (M54)","539","270","3","21","18,6511386555","-33,9829122796","18,6509576064","-33,9781983095"
"Stationary traffic","Pama Road (M44)","Lansdowne Road (M44)","946","398","3","5","18,6527788263","-34,0312041099","18,6517904323","-34,0227403830"
"Stationary traffic","Doublom Crescent","Doublom Crescent / Kalossie Crescent","160","182","3","8","18,6530953270","-33,9645324218","18,6529115957","-33,9636070609"
"Queuing traffic","Lansdowne Road (M44)","Pama Road (M44)","1542","217","2","18","18,6539831382","-34,0182463551","18,6527788263","-34,0312041099"
"Stationary traffic","Blue Downs [18]","Hindle Road (M54)","328","291","3","18","18,6533152681","-33,9758446324","18,6540582400","-33,9787039016"
"Queuing traffic","Ndlebe Street","Mbesa Crescent / Tandazo Drive","233","178","2","10","18,6573023718","-34,0282295574","18,6554154378","-34,0289805513"
"Queuing traffic","Mew Way (M44)","Japhta K. Masemola Road (M9)","110","49","2","10","18,6571924013","-34,0150853593","18,6573399228","-34,0158015229"
"Stationary traffic","Khayelitsha [25]","Mew Way (M44)","548","476","3","14","18,6538047713","-34,0099086947","18,6593690139","-34,0115408577"
